"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","agecat","incomecat"
"104295",108246,0,0.138165115,35,1,0.398325209,8000,7,0,2,0,0,"young","rich"
"77378",80305,0,0.111703647,51,0,1500,5400,6,0,1,0,1,"middle","middle"
"39349",40849,0,0.008380976,44,0,0.339758477,12917,7,0,2,0,3,"young","rich"
"115152",119473,0,0.46275053,41,0,0.465403624,2427,10,0,0,0,1,"young","poor"
"39703",41212,0,0.186138318,50,0,3452,5400,14,0,3,0,0,"middle","middle"
"49359",51249,0,0.914754262,32,0,0.472129086,4771,4,0,1,0,3,"young","middle"
"62164",64520,0,0.283207538,27,0,0.189111748,5583,13,0,2,0,0,"young","middle rich"
"59782",62059,0,0.00449955,27,0,0.269041992,5500,6,0,1,0,0,"young","middle rich"
"61288",63614,0,0.262638167,49,0,0.479586736,6000,14,0,1,0,0,"middle","middle rich"
"36421",37811,0,0.6245,60,0,0.7124,4999,16,0,1,0,1,"middle","middle"
"94800",98387,1,0.524343717,60,4,0.865100375,18131,24,0,20,0,0,"middle","rich"
"68207",70776,0,0.03779622,25,0,0.151670951,3500,3,0,0,0,0,"young","poor"
"119497",123980,0,0,48,1,0.435927038,4330,9,0,2,0,1,"middle","middle"
"73820",76613,0,0.02408065,44,0,0.137143381,10900,6,0,2,0,1,"young","rich"
"70560",73226,0,0.199313484,57,0,0.56094448,4700,10,0,1,0,1,"middle","middle"
"40733",42283,0,0.053758381,44,0,0.08617313,7658,4,0,0,0,1,"young","rich"
"6919",7186,0,0.104412316,55,0,0.206264999,7916,5,0,1,0,1,"middle","rich"
"103576",107502,0,0.134625659,68,0,0.038377297,10500,12,0,0,0,0,"middle","rich"
"72401",75147,0,0.050155546,59,0,0.084761608,3208,8,0,0,0,0,"middle","poor"
"24174",25104,0,1.067350697,31,0,0.247996228,2120,4,0,1,1,1,"young","poor"
"123678",128320,0,0.008519659,56,0,923,5400,10,0,1,0,0,"middle","middle"
"127178",131942,0,0.987002606,62,0,2945,5400,11,0,1,0,1,"middle","middle"
"118482",122928,0,0.671664168,27,0,0.105298234,3000,4,0,0,0,0,"young","poor"
"17286",17949,0,0.106708276,54,0,0.477753708,6000,12,0,2,0,3,"middle","middle rich"
"107681",111729,0,0.036491669,55,0,0.453634669,8583,12,0,4,0,0,"middle","rich"
"58138",60336,0,0.046084953,68,0,0.111131623,10833,4,0,1,0,0,"middle","rich"
"32490",33736,0,0.137463543,43,0,0.371682665,7083,5,0,1,0,2,"young","middle rich"
"89588",92988,0,0.02129198,58,0,0.208223342,12500,6,0,1,0,1,"middle","rich"
"33355",34634,0,0.179376509,47,0,0.428276147,4837,13,0,1,0,2,"middle","middle"
"83618",86787,0,0.085326863,55,1,0.290701616,8850,10,0,2,0,0,"middle","rich"
"58598",60817,0,0.077555792,53,0,0.229488958,9372,4,0,1,0,0,"middle","rich"
"96979",100646,0,0.187101612,56,0,0.006852515,6420,5,0,0,0,3,"middle","middle rich"
"139962",145210,0,0.019844275,82,0,0.009196812,3261,4,0,0,0,0,"elder","poor"
"1798",1865,0,0.655344655,35,0,0.294355859,3950,6,0,0,0,2,"young","middle"
"97286",100964,0,1.032528856,61,6,0.350872335,3610,7,1,0,5,0,"middle","poor"
"46318",48081,0,0.54185847,53,0,1763,0,10,0,0,0,0,"middle","poor"
"64188",66619,0,0.053589379,42,0,0.262747875,7059,6,0,1,0,3,"young","middle rich"
"5579",5793,0,0.212182951,72,0,0.41235281,4500,11,0,1,0,0,"middle","middle"
"121678",126239,0,0.9999999,37,0,1100,0,5,0,0,0,0,"young","poor"
"118897",123356,0,0.02419943,80,0,0.018796241,5000,12,0,0,0,1,"elder","middle"
"29057",30160,0,0.183871297,76,0,162,5400,6,0,0,0,0,"elder","middle"
"126869",131617,0,0.634052536,38,0,4107,5400,13,0,2,0,0,"young","middle"
"110969",115137,0,0.170759933,47,0,1.232453509,3333,17,0,1,0,1,"middle","poor"
"82382",85501,0,0.923519285,70,0,0.497096604,5682,8,0,1,0,0,"middle","middle rich"
"42472",44087,0,0.097912455,66,0,977,0,11,0,2,0,0,"middle","poor"
"89429",92823,0,0.497446676,74,0,1.085694776,2928,12,0,2,0,0,"middle","poor"
"7874",8179,0,0.890473968,56,0,0.194451032,12650,9,0,1,0,1,"middle","rich"
"6038",6262,0,0.024038701,48,0,0.083044983,2600,6,0,0,0,0,"middle","poor"
"29857",30988,0,0.936127745,31,0,0.102958237,3447,4,0,0,0,0,"young","poor"
"108295",112369,0,0.859114089,52,0,0.160946351,3000,2,0,0,0,0,"middle","poor"
"84970",88192,0,0.036162758,35,0,0.216039198,20000,8,0,1,0,1,"young","rich"
"119187",123654,0,0.014896295,67,0,1.217976089,4683,10,0,3,0,0,"middle","middle"
"23198",24094,0,0.009999355,43,0,0.061971023,6970,4,0,0,0,1,"young","middle rich"
"120142",124650,0,0.585153188,48,0,1.503746878,1200,4,0,1,0,2,"middle","poor"
"40327",41860,0,0.651210307,54,1,0.348085449,12404,9,0,2,1,2,"middle","rich"
"144363",149787,0,0.017854555,72,0,371,5400,4,0,0,0,0,"middle","middle"
"65898",68388,0,0.9999999,32,0,0.078588613,3740,1,0,0,0,0,"young","poor"
"18466",19172,0,0.042913411,82,0,0.110087903,7166,12,0,1,0,0,"elder","middle rich"
"97444",101129,0,0.188074363,45,0,0.316005874,6809,16,0,2,0,0,"middle","middle rich"
"90126",93550,0,0.095763746,42,0,0.353780904,9666,15,0,2,0,0,"young","rich"
"138057",143219,0,0,41,0,1749,5400,9,0,1,0,0,"young","middle"
"78181",81140,0,0.9999999,39,0,0.469174006,4200,5,0,1,0,1,"young","middle"
"21332",22148,0,0.030944015,44,0,3428,5400,7,0,2,0,1,"young","middle"
"140868",146146,0,0.41410501,55,0,0.078407297,5700,6,0,0,0,0,"middle","middle rich"
"52591",54586,0,0.085145798,36,0,0.537455776,6500,16,0,1,0,1,"young","middle rich"
"69209",71811,0,0.063426306,66,0,0.364851958,3140,6,0,1,0,0,"middle","poor"
"95028",98625,0,0.165922272,42,1,0.105885026,4400,5,0,0,0,2,"young","middle"
"102854",106753,0,0.865296487,27,0,0.094606543,7916,7,0,0,0,0,"young","rich"
"132739",137708,1,0.670036663,42,3,0.52087666,6250,8,2,1,2,1,"young","middle rich"
"90448",93881,0,0,48,0,0.803499327,5200,9,0,4,0,0,"middle","middle"
"50134",52059,0,0.007853275,44,0,15070,5400,10,0,7,0,1,"young","middle"
"86260",89520,0,0.088461002,36,0,0.236788358,7833,9,0,2,0,3,"young","rich"
"1657",1718,0,0.0445764,61,0,37.5,1,4,0,0,0,0,"middle","poor"
"78566",81534,1,0.044924262,42,1,1.032312388,9500,9,0,6,0,3,"young","rich"
"123203",127826,0,0.176363847,45,0,0.394302849,2000,8,0,1,0,0,"middle","poor"
"16808",17450,0,0.040056138,56,1,0.198431011,6500,11,0,1,0,0,"middle","middle rich"
"24771",25723,0,0.06272786,72,1,0.480120902,4300,9,0,2,0,0,"middle","middle"
"1775",1841,0,0.001128491,81,1,4546,5400,13,0,5,0,0,"elder","middle"
"97585",101273,0,0.191037504,62,0,0.248293673,5420,6,0,1,0,0,"middle","middle rich"
"433",449,0,0.9999999,40,1,0.19170579,3833,3,2,0,0,2,"young","middle"
"24565",25510,0,0.096046891,59,0,2077,5400,13,0,1,0,1,"middle","middle"
"101218",105064,0,0.70857316,33,1,0.66208589,4074,10,1,1,0,0,"young","middle"
"48257",50095,0,0.031877706,60,0,439,5400,3,0,0,0,0,"middle","middle"
"39565",41069,0,0.06838933,49,0,0.244917715,11362,14,0,1,0,2,"middle","rich"
"34971",36308,0,0.034595277,52,0,0.005839674,5650,11,0,0,0,1,"middle","middle rich"
"51640",53620,0,0.35399755,63,0,0.891908779,3200,12,0,2,0,1,"middle","poor"
"114267",118559,0,0.057454545,26,0,881,5400,4,0,0,0,0,"young","middle"
"99349",103102,0,0.071823497,43,0,0.312356741,4798,16,0,1,0,1,"young","middle"
"45548",47282,0,0.015199797,51,0,81,5400,10,0,0,0,0,"middle","middle"
